Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
Hennes & Mauritz (H&M)|Länsförsäkringar;Clothing & textile|Insurance;SE;BD;;Clothing & textile|Finance & banking;03.03.2019;Länsförsäkringar response to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;ILO|Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Sofia Aulin, Sweden;https://www.business-humanrights.org/en/latest-news/länsförsäkringar-response-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/länsförsäkringar/;;
Hennes & Mauritz (H&M)|Skandia;Clothing & textile|Insurance;SE;BD;;Clothing & textile|Finance & banking;03.03.2019;Skandia's response to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Aurora Samuelsson, Investment Analyst, ESG, Skandia, Sweden;https://www.business-humanrights.org/en/latest-news/skandias-response-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/skandia/;;
Hennes & Mauritz (H&M)|SpareBank 1 SR-Bank;Clothing & textile|Finance & banking;NO|SE;BD;;Clothing & textile|Finance & banking;03.03.2019;SpareBank 1 SR-Bank's response to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Agnethe Brown Erland, Sustainability Manager, SpareBank 1 SR-Bank, Norwary;https://www.business-humanrights.org/en/latest-news/sparebank-1-sr-banks-response-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/sparebank-1-sr-bank/;;
Hennes & Mauritz (H&M)|SEB;Clothing & textile|Finance & banking;SE;BD;;Clothing & textile|Finance & banking;03.03.2019;SEB Group's response to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Eva Siling, Group Sustainability, SEB Group, France;https://www.business-humanrights.org/en/latest-news/seb-groups-response-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/seb/;;
Hennes & Mauritz (H&M)|Storebrand;Clothing & textile|Finance & banking;NO|SE;BD;;Clothing & textile|Finance & banking;03.03.2019;Storebrand’s response to the Fair Action report “Broke in Bangladesh”;Bangladesh: Fair Action reports that Nordic banks fail to hold H&M and other brands accountable to living wage promises;Labour Rights|Living Wage|Socially-responsible investing & shareholder activism;Yes;Tulia Machado-Helland, Senior Legal Adviser ESG, Storebrand, Norway;https://www.business-humanrights.org/en/latest-news/storebrands-response-to-the-fair-action-report-broke-in-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/|https://www.business-humanrights.org/en/companies/storebrand/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BD;;Clothing & textile;29.03.2019;H&M's response;Bangladesh: Brands respond to mass dismissals of garment workers following minimum wage protests;Freedom of Association|Labour Rights|Living Wage|Protests|Supply Chains;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hms-response-2/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
BHP;Mining|Oil, gas & coal;AU;BR;;Mining;05.04.2019;BHP response;Brazil: 86 NGOs write to business partners & investors of Vale, raising concerns about human rights violations related to the Brumadinho dam disaster;Deaths;Yes;BHP (Australia);https://www.business-humanrights.org/en/latest-news/bhp-response/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining;08.04.2019;Vale response;BHP & Vale lawsuit (re Fundão dam collapse in Brazil, filed in Brazil);Deaths;Yes;Vale (Brazil);https://www.business-humanrights.org/en/latest-news/vale-response-6/;https://www.business-humanrights.org/en/companies/vale/;;
BHP;Mining|Oil, gas & coal;AU;BR;;Mining;05.04.2019;Resposta da BHP;Brasil: 86 ONGs pedem a parceiros e investidores da Vale que exijam da empresa reparação aos atingidos pelo rompimento de sua barragem em Brumadinho;Deaths;Yes;BHP (Australia);https://www.business-humanrights.org/en/latest-news/resposta-da-bhp/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining;09.04.2019;Resposta da Vale;Brasil: 86 ONGs pedem a parceiros e investidores da Vale que exijam da empresa reparação aos atingidos pelo rompimento de sua barragem em Brumadinho;Deaths;Yes;Vale (Brazil);https://www.business-humanrights.org/en/latest-news/resposta-da-vale/;https://www.business-humanrights.org/en/companies/vale/;;
Nestlé;Food & beverage;CH;PH;;;14.04.2019;Response by Nestle;"Philippines: IP community deals with violence and deaths after declining to give consent to the operations of a coffee plantation; some companies respond";Free, prior & informed consent|Indigenous Peoples;Yes;Nestle;https://www.business-humanrights.org/en/latest-news/response-by-nestle/;https://www.business-humanrights.org/en/companies/nestlé/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining;02.05.2019;Brasil: Usina Gusa Nordeste descarta resíduos tóxicos e incandescentes que têm causado graves queimaduras em moradores, inclui comentários da Vale mas usina não comentou;;Access to Water|Children|Deaths|Lawsuits & regulatory action|Personal Health|UN;Yes;Thais Lazzeri, Repórter Brasil (Brazil);https://www.business-humanrights.org/en/latest-news/brasil-usina-gusa-nordeste-descarta-resíduos-tóxicos-e-incandescentes-que-têm-causado-graves-queimaduras-em-moradores-inclui-comentários-da-vale-mas-usina-não-comentou/;https://www.business-humanrights.org/en/companies/vale/;;
Volkswagen;Automobile & other motor vehicles;DE;UA;;;29.04.2019;Response by Volkswagen;"Ukraine: Fujikura plant supplying electrical equipment to Volkswagen allegedly linked to human rights abuses; incl. co response";Freedom of Association|Labour Rights|Personal Health|Sexual harassment;Yes;Volkswagen;https://www.business-humanrights.org/en/latest-news/response-by-volkswagen-3/;https://www.business-humanrights.org/en/companies/volkswagen/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;06.05.2019;ExxonMobil's response re InfluenceMap report claiming misleading climate-related branding & lobbying;InfluenceMap report alleges misleading climate-related branding & lobbying by major oil & gas companies, BP, Chevron, ExxonMobil, Shell & Total responded;Climate Crisis;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobils-response-re-influencemap-report-claiming-misleading-climate-related-branding-lobbying/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Rio Tinto;Mining;GB;US;;Trucking;06.05.2019;Rio Tinto's response;"USA: Los Angeles port truck drivers allege wage & labour violations in Rio Tinto  supply chain; Includes company responses";Gig Economy|Labour Rights|Living Wage|Migrants & Immigrants|Supply Chains;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-5/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;US;;Oil, gas & coal;09.05.2019;Shell's response re InfluenceMap report claiming misleading climate-related branding & lobbying;InfluenceMap report alleges misleading climate-related branding & lobbying by major oil & gas companies, BP, Chevron, ExxonMobil, Shell & Total responded;Climate Crisis;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response-re-influencemap-report-claiming-misleading-climate-related-branding-lobbying/;https://www.business-humanrights.org/en/companies/shell-plc/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;US;;Oil, gas & coal;10.05.2019;Total's response re InfluenceMap report claiming misleading climate-related branding & lobbying;InfluenceMap report alleges misleading climate-related branding & lobbying by major oil & gas companies, BP, Chevron, ExxonMobil, Shell & Total responded;Climate Crisis;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response-re-influencemap-report-claiming-misleading-climate-related-branding-lobbying/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;ET;;Clothing & textile;09.05.2019;H&M's response;"Ethiopia: Major apparel brands accused of 'race to the bottom' after investigation reveals wages as low as $0.12 per hour & 'numerous' labour abuses in garment factories; Incl. co. Responses";Freedom of Association|Labour Rights|Living Wage|Personal Health|Supply Chains;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hms-response-3/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Nestlé;Food & beverage;CH;TR;;Agriculture & livestock;20.05.2019;Nestle responds to allegations of refugee labour abuse on Turkish hazelnut farms;Turquie: Nestlé et Ferrero font l'objet d'allégations de violation des droits du travail des réfugiés Syriens dans les fermes de noisettes;Child labour|Labour Rights|Refugees;Yes;Yann Wiss, Nestle;https://www.business-humanrights.org/en/latest-news/nestle-responds-to-allegations-of-refugee-labour-abuse-on-turkish-hazelnut-farms/;https://www.business-humanrights.org/en/companies/nestlé/;;
ExxonMobil;Oil, gas & coal;US;US;;;08.05.2019;Response from ExxonMobil;USA: Nonprofit drug rehab program allegedly sends patients to work without pay at Exxon, Shell & Walmart, incl. company responses;Labour Rights;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/response-from-exxonmobil/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;US;;;16.05.2019;Response from Shell;USA: Nonprofit drug rehab program allegedly sends patients to work without pay at Exxon, Shell & Walmart, incl. company responses;Labour Rights;Yes;Shell;https://www.business-humanrights.org/en/latest-news/response-from-shell/;https://www.business-humanrights.org/en/companies/shell-plc/;;
BHP|Samarco Mineraçao S.A. (Joint venture between Vale S.A. (50%) and BHP (50%))|Vale;Energy|Metals & steel|Mining|Oil, gas & coal;AU|BR;BR;;Mining;01.03.2019;Response by Conectas to UN Global Compact;BHP & Vale lawsuit (re Fundão dam collapse in Brazil, filed in Brazil);Clean, Healthy & Sustainable Environment|Injuries|Lawsuits & regulatory action;Yes;Conectas;https://www.business-humanrights.org/en/latest-news/response-by-conectas-to-un-global-compact/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/|https://www.business-humanrights.org/en/companies/samarco-joint-venture-bhp-billiton-and-vale/|https://www.business-humanrights.org/en/companies/vale/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;BO|CO;;Mining;23.05.2019;Response by Glencore;Latin America: Report details impacts of international arbitrations filed by mining companies;Arbitration;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-glencore-8/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CH;;;17.06.2019;Response by Glencore Agriculture;Business model of agricultural traders in Switzerland raises human rights concerns, according to NGO report urging tougher rules;Supply Chains;Yes;Glencore Agriculture;https://www.business-humanrights.org/en/latest-news/response-by-glencore-agriculture/;https://www.business-humanrights.org/en/companies/glencore/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;FR;;Oil, gas & coal;24.06.2019;Total's response;Total's corporate strategy inconsistent with Paris Climate Agreement, according to NGO report;Climate Crisis;Yes;;https://www.business-humanrights.org/en/latest-news/totals-response-6/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Zijin Mining;Metals & steel|Mining;CN;PG;;Mining;02.05.2019;Zijin did not respond;Papua New Guinea: Barrick (Niugini) Limited allegedly violates locals' right to water at Porgera gold mine;Access to Water;No;;https://www.business-humanrights.org/en/latest-news/zijin-did-not-respond/;https://www.business-humanrights.org/en/companies/zijin-mining/;;
Archer Daniels Midland (ADM);Agriculture & livestock;US;BR;;;15.02.2019;Resposta da Archer Daniels Midland;"Brasil: Relatório da Art. dos Povos Indígenas do Brasil e Amazon Watch alega cumplicidade de empresas no desmatamento da Amazônia e em violações de direitos humanos; empresas respondem";Clean, Healthy & Sustainable Environment|Indigenous Peoples;Yes;Archer Daniels Midland;https://www.business-humanrights.org/en/latest-news/resposta-da-archer-daniels-midland/;https://www.business-humanrights.org/en/companies/archer-daniels-midland-adm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN;;Clothing & textile;06.08.2019;Response by Adidas;"China: Ethnic minorities detained in internment camps reportedly subject to forced labour in factories supplying to major apparel brands; Incl. co responses";Forced Labour & Modern Slavery;Yes;adidas;https://www.business-humanrights.org/en/latest-news/response-by-adidas-6/;https://www.business-humanrights.org/en/companies/adidas/;;
